Year,LatGIS,LonGIS,Location,Species,Outcome
1984,-43.21,147.76,Tasmania Australia,Other,Non-fatal
1984,-36.29,175.4,New Zealand,Other,Non-fatal
1984,-2.93,-39.82,Ceará Brazil,Requiem,Non-fatal
1984,45.2,-123.97,California USA,White Shark,Non-fatal
1984,38.28,-123,California USA,White Shark,Non-fatal
1984,-34.1,18.51,Cape Town South Africa,White Shark,Non-fatal
1984,-43.14,148.01,Tasmania Australia,White Shark,Non-fatal
1984,-28.67,153.62,New South Wales Australia,White Shark,Non-fatal
1984,-31.86,115.75,Western Australia,Wobbegong,Non-fatal
1985,27.95,-80.5,Florida USA,Bull,Non-fatal
1985,29.18,-80.98,Florida USA,Hammerhead,Non-fatal
1985,31.59,48.88,Iran,Other,Fatal
1985,21.3,-158.11,Hawaii USA,Other,Non-fatal
1985,29.04,-80.89,Florida USA,Other,Non-fatal
1985,32.17,-80.72,South Carolina USA,Other,Non-fatal
1985,28.03,-80.54,Florida USA,Other,Non-fatal
1985,32.66,-79.93,South Carolina USA,Other,Non-fatal
1985,6.92,79.84,Sri Lanka,Other,Non-fatal
1985,37.54,-74.79,Virginia USA,Requiem,Non-fatal
1985,37.54,-74.79,Virginia USA,Requiem,Non-fatal
1985,33.97,-77.68,North Carolina USA,Sand Tiger,Non-fatal
1985,22.2,-159.5,Hawaii USA,Tiger,Non-fatal
1985,38.24,-123,California USA,White Shark,Non-fatal
1985,34.04,-120.44,California USA,White Shark,Non-fatal
1985,-33.01,27.93,South Africa,White Shark,Non-fatal
1985,-30.01,30.93,Durban South Africa,White Shark,Non-fatal
1985,-38.35,144.31,Victoria Australia,White Shark,Non-fatal
1986,43.1,3.12,Provence France,Blue,Non-fatal
1986,29.06,-80.9,Florida USA,Other,Non-fatal
1986,28.13,-80.58,Florida USA,Other,Non-fatal
1986,27.22,-80.18,Florida USA,Other,Non-fatal
1986,34.18,-77.8,North Carolina USA,Other,Non-fatal
1986,-33.97,25.65,South Africa,Other,Non-fatal
1986,-29.85,31.04,Durban South Africa,Other,Non-fatal
1986,-29.76,-50.04,Rio Grande do Sul Brazil,Sand Tiger,Non-fatal
1986,-12.06,96.88,Christmas Island Australia,Tiger,Non-fatal
1986,-34.05,22.27,South Africa,White Shark,Fatal
1986,36.01,-5.61,Spain,White Shark,Non-fatal
1986,-32.99,27.95,South Africa,White Shark,Non-fatal
1986,-33.82,151.3,Sydney Australia,Wobbegong,Non-fatal
1987,26.69,-80.03,Florida USA,Blacktip ,Non-fatal
1987,27.67,-97.17,Texas USA,Other,Non-fatal
1987,27.79,-97.09,Texas USA,Other,Non-fatal
1987,27.82,-97.06,Texas USA,Other,Non-fatal
1987,29.17,-94.98,Texas USA,Other,Non-fatal
1987,29.84,-81.26,Florida USA,Other,Non-fatal
1987,27.86,-80.45,Florida USA,Other,Non-fatal
1987,27.07,-80.11,Florida USA,Other,Non-fatal
1987,26.95,-80.07,Florida USA,Other,Non-fatal
1987,-4.07,39.71,Kenya,Other,Non-fatal
1987,-4.07,39.71,Kenya,Other,Non-fatal
1987,-14.18,132.19,Northern Territory Australia,Other,Non-fatal
1987,-38.89,174.52,New Zealand,Other,Non-fatal
1987,26.79,-80.03,Florida USA,Spinner,Non-fatal
1987,37.36,-122.4,California USA,White Shark,Non-fatal
1987,-34.43,21.32,South Africa,White Shark,Non-fatal
1987,-33.88,121.87,Western Australia,White Shark,Non-fatal
1987,-34.99,118.18,Western Australia,Wobbegong,Non-fatal
1988,40.49,-69.85,Massachusetts USA,Blue,Non-fatal
1988,-21.26,55.33,Reunion,Bull,Fatal
1988,-28.96,31.79,KwaZulu-Natal South Africa,Bull,Non-fatal
1988,26.35,-80.07,Florida USA,Hammerhead,Non-fatal
1988,21.96,-159.34,Hawaii USA,Other,Non-fatal
1988,30.12,-85.72,Florida USA,Other,Non-fatal
1988,29.23,-81,Florida USA,Other,Non-fatal
1988,29.04,-80.89,Florida USA,Other,Non-fatal
1988,32.12,-80.79,South Carolina USA,Other,Non-fatal
1988,28.64,-80.62,Florida USA,Other,Non-fatal
1988,28.12,-80.57,Florida USA,Other,Non-fatal
1988,28.07,-80.56,Florida USA,Other,Non-fatal
1988,27.29,-80.21,Florida USA,Other,Non-fatal
1988,27.27,-80.2,Florida USA,Other,Non-fatal
1988,26.78,-80.03,Florida USA,Other,Non-fatal
1988,26.79,-80.03,Florida USA,Other,Non-fatal
1988,26.79,-80.03,Florida USA,Other,Non-fatal
1988,26.78,-80.03,Florida USA,Other,Non-fatal
1988,-24.01,-46.27,São Paulo Brazil,Other,Non-fatal
1988,-32.99,27.95,South Africa,Other,Non-fatal
1988,-30,30.95,Durban South Africa,Other,Non-fatal
1988,-21.33,55.45,Reunion,Other,Non-fatal
1988,-35.19,138.47,South Australia,Other,Non-fatal
1988,27.04,142.18,Japan,Other,Non-fatal
1988,-38.51,145.29,Victoria Australia,Other,Non-fatal
1988,35.08,-75.54,North Carolina USA,Sand Tiger,Non-fatal
1988,30.12,-85.72,Florida USA,Tiger,Fatal
1988,45.93,-123.98,California USA,White Shark,Non-fatal
1988,36.72,-121.9,California USA,White Shark,Non-fatal
1988,41.51,15.92,Italy,White Shark,Non-fatal
1989,26.16,-81.81,Florida USA,Blacktip ,Non-fatal
1989,21.58,-158.13,Hawaii USA,Hammerhead,Non-fatal
1989,-20.9,55.59,Reunion,Other,Fatal
1989,-35.63,138.49,South Australia,Other,Fatal
1989,21.97,-159.72,Hawaii USA,Other,Non-fatal
1989,22.15,-159.3,Hawaii USA,Other,Non-fatal
1989,20.93,-156.36,Hawaii USA,Other,Non-fatal
1989,28.75,-95.65,Texas USA,Other,Non-fatal
1989,28.94,-95.29,Texas USA,Other,Non-fatal
1989,27.73,-82.75,Florida USA,Other,Non-fatal
1989,29.82,-81.26,Florida USA,Other,Non-fatal
1989,28.32,-80.61,Florida USA,Other,Non-fatal
1989,28.08,-80.56,Florida USA,Other,Non-fatal
1989,27.85,-80.44,Florida USA,Other,Non-fatal
1989,27.86,-80.44,Florida USA,Other,Non-fatal
1989,26.88,-80.05,Florida USA,Other,Non-fatal
1989,35.54,-75.47,North Carolina USA,Other,Non-fatal
1989,-34.03,24.93,South Africa,Other,Non-fatal
1989,-30,30.95,Durban South Africa,Other,Non-fatal
1989,-28.8,32.09,KwaZulu-Natal South Africa,Other,Non-fatal
1989,-14.18,132.19,Northern Territory Australia,Other,Non-fatal
1989,26.72,-82.26,Florida USA,Requiem,Non-fatal
1989,-29.07,153.45,New South Wales Australia,Tiger,Non-fatal
1989,47.21,-124.21,Washington USA,White Shark,Non-fatal
1989,37.69,-123,California USA,White Shark,Non-fatal
1989,44.04,10.03,Italy,White Shark,Non-fatal
1989,-34.18,22.16,South Africa,White Shark,Non-fatal
1989,-34.03,24.93,South Africa,White Shark,Non-fatal
1989,-32.94,28.03,South Africa,White Shark,Non-fatal
1989,-38.56,145.47,Victoria Australia,White Shark,Non-fatal
1989,-43.43,147.23,Tasmania Australia,White Shark,Non-fatal
1989,-28.81,153.61,New South Wales Australia,White Shark,Non-fatal
1990,-20.89,55.55,Reunion,Bull,Non-fatal
1990,21.58,-158.15,Hawaii USA,Other,Non-fatal
1990,27.64,-97.19,Texas USA,Other,Non-fatal
1990,27.81,-97.06,Texas USA,Other,Non-fatal
1990,27.83,-97.05,Texas USA,Other,Non-fatal
1990,30.3,-87.43,Florida USA,Other,Non-fatal
1990,29.95,-81.3,Florida USA,Other,Non-fatal
1990,29.1,-80.93,Florida USA,Other,Non-fatal
1990,29.06,-80.9,Florida USA,Other,Non-fatal
1990,28.07,-80.56,Florida USA,Other,Non-fatal
1990,28.09,-80.56,Florida USA,Other,Non-fatal
1990,28.05,-80.55,Florida USA,Other,Non-fatal
1990,27.86,-80.45,Florida USA,Other,Non-fatal
1990,27.26,-80.19,Florida USA,Other,Non-fatal
1990,27.22,-80.17,Florida USA,Other,Non-fatal
1990,26.38,-80.07,Florida USA,Other,Non-fatal
1990,-4.07,39.66,Kenya,Other,Non-fatal
1990,-4.07,39.66,Kenya,Other,Non-fatal
1990,-28.01,153.42,New South Wales Australia,Other,Non-fatal
1990,-28.05,153.43,New South Wales Australia,Other,Non-fatal
1990,-46.63,169.37,Southland New Zealand,Other,Non-fatal
1990,-18.65,178.53,Fiji,Tiger,Non-fatal
1990,-34.13,22.13,South Africa,White Shark,Fatal
1990,41.06,-124.15,California USA,White Shark,Non-fatal
1990,36.52,-121.93,California USA,White Shark,Non-fatal
1990,36.61,-121.89,California USA,White Shark,Non-fatal
1990,-34.02,25.7,South Africa,White Shark,Non-fatal
1990,-32.83,28.12,South Africa,White Shark,Non-fatal
1990,-28.2,153.57,New South Wales Australia,White Shark,Non-fatal
1991,25.8,-80.12,Florida USA,Blacktip ,Non-fatal
1991,-28.87,153.59,New South Wales Australia,Bronze Whaler,Non-fatal
1991,27.77,-82.61,Florida USA,Bull,Non-fatal
1991,21.3,-158.03,Hawaii USA,Other,Non-fatal
1991,45.76,-123.97,California USA,Other,Non-fatal
1991,30.27,-81.38,Florida USA,Other,Non-fatal
1991,29.07,-80.91,Florida USA,Other,Non-fatal
1991,29.05,-80.9,Florida USA,Other,Non-fatal
1991,28.64,-80.62,Florida USA,Other,Non-fatal
1991,28.01,-80.53,Florida USA,Other,Non-fatal
1991,27.91,-80.47,Florida USA,Other,Non-fatal
1991,27.86,-80.45,Florida USA,Other,Non-fatal
1991,27.65,-80.35,Florida USA,Other,Non-fatal
1991,27.5,-80.3,Florida USA,Other,Non-fatal
1991,25.79,-80.13,Florida USA,Other,Non-fatal
1991,33.69,-78.88,North Carolina USA,Other,Non-fatal
1991,-32.54,115.69,Western Australia,Other,Non-fatal
1991,-23.83,151.29,Queensland Australia,Other,Non-fatal
1991,-33.53,151.37,Sydney Australia,Other,Non-fatal
1991,-28.05,153.43,New South Wales Australia,Other,Non-fatal
1991,-36.99,174.48,Auckland New Zealand,Other,Non-fatal
1991,20.81,-156.62,Hawaii USA,Tiger,Fatal
1991,22.32,114.27,Hong Kong,Tiger,Fatal
1991,21.4,-158.18,Hawaii USA,Tiger,Non-fatal
1991,20.81,-156.62,Hawaii USA,Tiger,Non-fatal
1991,-21.26,55.33,Reunion,Tiger,Non-fatal
1991,-28.16,153.54,New South Wales Australia,Tiger,Non-fatal
1991,-35.27,138.44,South Australia,White Shark,Fatal
1991,40.02,-124.07,California USA,White Shark,Non-fatal
1991,45.11,-123.99,California USA,White Shark,Non-fatal
1991,37.02,-122.22,California USA,White Shark,Non-fatal
1991,37.01,-122.2,California USA,White Shark,Non-fatal
1992,27.88,-80.45,Florida USA,Blacktip ,Non-fatal
1992,-29.49,31.26,Durban South Africa,Blacktip ,Non-fatal
1992,-27.43,153.59,Queensland Australia,Bronze Whaler,Non-fatal
1992,-21.01,55.26,Reunion,Bull,Fatal
1992,-16.69,-179.87,Fiji,Other,Fatal
1992,-21.39,55.61,Reunion,Other,Fatal
1992,22.22,-159.57,Hawaii USA,Other,Non-fatal
1992,29.08,-95.13,Texas USA,Other,Non-fatal
1992,27.03,-82.43,Florida USA,Other,Non-fatal
1992,29.25,-81.02,Florida USA,Other,Non-fatal
1992,29.07,-80.91,Florida USA,Other,Non-fatal
1992,27.87,-80.45,Florida USA,Other,Non-fatal
1992,27.86,-80.44,Florida USA,Other,Non-fatal
1992,27.5,-80.3,Florida USA,Other,Non-fatal
1992,27.48,-80.29,Florida USA,Other,Non-fatal
1992,27.29,-80.21,Florida USA,Other,Non-fatal
1992,26.72,-80.03,Florida USA,Other,Non-fatal
1992,-2.49,-44.29,Maranhão Brazil,Other,Non-fatal
1992,-2.49,-44.29,Maranhão Brazil,Other,Non-fatal
1992,-8.13,-34.9,Recife Brazil,Other,Non-fatal
1992,63.1,21.56,Finland,Other,Non-fatal
1992,-32.99,27.95,South Africa,Other,Non-fatal
1992,-24.81,152.46,Queensland Australia,Other,Non-fatal
1992,-16.44,167.78,Vanuatu,Other,Non-fatal
1992,-43.51,172.73,Canterbury New Zealand,Other,Non-fatal
1992,-37.66,176.22,Bay of Plenty New Zealand,Other,Non-fatal
1992,27.48,-80.29,Florida USA,Requiem,Non-fatal
1992,23.73,-76.04,Bahamas,Requiem,Non-fatal
1992,21.49,-158.23,Hawaii USA,Tiger,Fatal
1992,21.63,-158.07,Hawaii USA,Tiger,Fatal
1992,22.22,-159.57,Hawaii USA,Tiger,Non-fatal
1992,21.62,-158.09,Hawaii USA,Tiger,Non-fatal
1992,21.63,-158.08,Hawaii USA,Tiger,Non-fatal
1992,-30,30.95,Durban South Africa,Tiger,Non-fatal
1992,-27.02,153.43,Queensland Australia,White Shark,Fatal
1992,42.42,-124.43,California USA,White Shark,Non-fatal
1992,43.66,-124.22,California USA,White Shark,Non-fatal
1992,-38.29,144.6,Victoria Australia,White Shark,Non-fatal
1992,-28.17,153.55,New South Wales Australia,White Shark,Non-fatal
1992,-52.53,169.12,New Zealand,White Shark,Non-fatal
1993,35.11,-76.26,North Carolina USA,Bull,Non-fatal
1993,24.6,-81.64,Florida USA,Lemon,Non-fatal
1993,21.62,-158.09,Hawaii USA,Other,Fatal
1993,13.48,-89.35,El Salvador,Other,Fatal
1993,2.01,45.3,Somalia,Other,Fatal
1993,2.01,45.31,Somalia,Other,Fatal
1993,2.04,45.36,Somalia,Other,Fatal
1993,22.31,114.29,Hong Kong,Other,Fatal
1993,20.91,-156.48,Hawaii USA,Other,Non-fatal
1993,13.49,-89.35,El Salvador,Other,Non-fatal
1993,30.42,-81.41,Florida USA,Other,Non-fatal
1993,30.46,-81.41,Florida USA,Other,Non-fatal
1993,29.48,-81.13,Florida USA,Other,Non-fatal
1993,29.23,-81,Florida USA,Other,Non-fatal
1993,28.95,-80.84,Florida USA,Other,Non-fatal
1993,27.8,-80.42,Florida USA,Other,Non-fatal
1993,27.47,-80.29,Florida USA,Other,Non-fatal
1993,26.78,-80.03,Florida USA,Other,Non-fatal
1993,-24.03,-46.48,São Paulo Brazil,Other,Non-fatal
1993,-8.22,-34.93,Recife Brazil,Other,Non-fatal
1993,-8.17,-34.91,Recife Brazil,Other,Non-fatal
1993,39.47,-0.32,Valencia Spain,Other,Non-fatal
1993,-30.58,30.58,Durban South Africa,Other,Non-fatal
1993,3.51,103.49,Malaysia,Other,Non-fatal
1993,-23.11,150.75,Queensland Australia,Other,Non-fatal
1993,19.7,-80.04,Cayman Islands,Requiem,Non-fatal
1993,-33.23,27.58,South Africa,Sand Tiger,Non-fatal
1993,20.37,-87.03,Quintana Roo Mexico,Tiger,Fatal
1993,-8.13,-34.9,Recife Brazil,Tiger,Fatal
1993,22.31,114.29,Hong Kong,Tiger,Fatal
1993,-17.98,122.23,Western Australia,Tiger,Fatal
1993,22.05,-159.33,Hawaii USA,Tiger,Non-fatal
1993,21.66,-157.92,Hawaii USA,Tiger,Non-fatal
1993,20.84,-156.12,Hawaii USA,Tiger,Non-fatal
1993,-40.94,146.98,Tasmania Australia,White Shark,Fatal
1993,-28.58,153.62,New South Wales Australia,White Shark,Fatal
1993,-43.74,-176.84,New Zealand,White Shark,Non-fatal
1993,43.35,-124.35,California USA,White Shark,Non-fatal
1993,40.77,-124.24,California USA,White Shark,Non-fatal
1993,-33.98,25.67,South Africa,White Shark,Non-fatal
1994,29.03,-80.89,Florida USA,Blacktip ,Non-fatal
1994,-20.88,55.44,Reunion,Bull,Fatal
1994,29.04,-80.89,Florida USA,Hammerhead,Non-fatal
1994,-16.69,-179.87,Fiji,Other,Fatal
1994,-2.48,-44.26,Maranhão Brazil,Other,Fatal
1994,-8.26,-34.94,Recife Brazil,Other,Fatal
1994,-8.13,-34.9,Recife Brazil,Other,Fatal
1994,-22.28,166.41,New Caledonia,Other,Fatal
1994,22.01,-159.78,Hawaii USA,Other,Non-fatal
1994,22.1,-159.3,Hawaii USA,Other,Non-fatal
1994,21.46,-158.21,Hawaii USA,Other,Non-fatal
1994,29.48,-81.12,Florida USA,Other,Non-fatal
1994,29.13,-80.96,Florida USA,Other,Non-fatal
1994,29.08,-80.92,Florida USA,Other,Non-fatal
1994,29.04,-80.89,Florida USA,Other,Non-fatal
1994,29.03,-80.89,Florida USA,Other,Non-fatal
1994,29.04,-80.89,Florida USA,Other,Non-fatal
1994,29.01,-80.88,Florida USA,Other,Non-fatal
1994,29,-80.86,Florida USA,Other,Non-fatal
1994,30.34,-80.82,Florida USA,Other,Non-fatal
1994,28.32,-80.61,Florida USA,Other,Non-fatal
1994,28.24,-80.6,Florida USA,Other,Non-fatal
1994,28.09,-80.56,Florida USA,Other,Non-fatal
1994,28.09,-80.56,Florida USA,Other,Non-fatal
1994,28.09,-80.56,Florida USA,Other,Non-fatal
1994,28.05,-80.55,Florida USA,Other,Non-fatal
1994,27.81,-80.42,Florida USA,Other,Non-fatal
1994,27.22,-80.17,Florida USA,Other,Non-fatal
1994,23.69,-74.8,Bahamas,Other,Non-fatal
1994,-24.15,-46.71,São Paulo Brazil,Other,Non-fatal
1994,-23.97,-46.36,São Paulo Brazil,Other,Non-fatal
1994,-2.49,-44.29,Maranhão Brazil,Other,Non-fatal
1994,-8.26,-34.94,Recife Brazil,Other,Non-fatal
1994,-8.17,-34.92,Recife Brazil,Other,Non-fatal
1994,-8.17,-34.91,Recife Brazil,Other,Non-fatal
1994,-8.17,-34.91,Recife Brazil,Other,Non-fatal
1994,-8.13,-34.9,Recife Brazil,Other,Non-fatal
1994,-8.12,-34.89,Recife Brazil,Other,Non-fatal
1994,-8.12,-34.89,Recife Brazil,Other,Non-fatal
1994,28.42,129.52,Japan,Other,Non-fatal
1994,-27.54,152.84,Queensland Australia,Other,Non-fatal
1994,-27.99,153.42,Queensland Australia,Other,Non-fatal
1994,32.15,-80.73,South Carolina USA,Requiem,Non-fatal
1994,-28.02,153.44,New South Wales Australia,Requiem,Non-fatal
1994,-33.29,27.48,South Africa,Sand Tiger,Non-fatal
1994,-32.99,27.95,South Africa,Sand Tiger,Non-fatal
1994,29.24,-81.01,Florida USA,Spinner,Non-fatal
1994,29.04,-80.89,Florida USA,Spinner,Non-fatal
1994,22.21,-159.5,Hawaii USA,Tiger,Non-fatal
1994,-8.12,-34.89,Recife Brazil,Tiger,Non-fatal
1994,-33,27.95,South Africa,White Shark,Fatal
1994,45.76,-123.97,California USA,White Shark,Non-fatal
1994,-27.39,-104.31,Mexico,White Shark,Non-fatal
1994,-34.07,22.19,South Africa,White Shark,Non-fatal
1994,-34,25.33,South Africa,White Shark,Non-fatal
1994,-33,27.95,South Africa,White Shark,Non-fatal
1994,-32.99,27.95,South Africa,White Shark,Non-fatal
1995,33.62,-78.95,North Carolina USA,Blacktip ,Non-fatal
1995,34.12,-77.85,North Carolina USA,Blacktip ,Non-fatal
1995,-20.87,55.44,Reunion,Bull,Fatal
1995,-20.87,55.45,Reunion,Bull,Fatal
1995,27.67,-80.36,Florida USA,Bull,Non-fatal
1995,27.26,-80.2,Florida USA,Bull,Non-fatal
1995,35.75,126.1,South Korea,Grey Reef,Fatal
1995,-17.29,177.13,Fiji,Mako,Fatal
1995,26.11,34.27,Egypt,Oceanic Whitetip,Non-fatal
1995,-2.48,-44.22,Maranhão Brazil,Other,Fatal
1995,-8.22,-34.92,Recife Brazil,Other,Fatal
1995,22.38,114.27,Hong Kong,Other,Fatal
1995,22.32,114.29,Hong Kong,Other,Fatal
1995,27.68,-97.16,Texas USA,Other,Non-fatal
1995,29.77,-81.24,Florida USA,Other,Non-fatal
1995,29.7,-81.22,Florida USA,Other,Non-fatal
1995,29.31,-81.05,Florida USA,Other,Non-fatal
1995,29.2,-80.99,Florida USA,Other,Non-fatal
1995,29.18,-80.98,Florida USA,Other,Non-fatal
1995,29.08,-80.92,Florida USA,Other,Non-fatal
1995,29.08,-80.92,Florida USA,Other,Non-fatal
1995,29.08,-80.92,Florida USA,Other,Non-fatal
1995,29.07,-80.91,Florida USA,Other,Non-fatal
1995,29.07,-80.91,Florida USA,Other,Non-fatal
1995,29.07,-80.91,Florida USA,Other,Non-fatal
1995,29.07,-80.91,Florida USA,Other,Non-fatal
1995,29.07,-80.91,Florida USA,Other,Non-fatal
1995,29.07,-80.91,Florida USA,Other,Non-fatal
1995,29.07,-80.91,Florida USA,Other,Non-fatal
1995,29.07,-80.91,Florida USA,Other,Non-fatal
1995,29.06,-80.9,Florida USA,Other,Non-fatal
1995,32,-80.84,South Carolina USA,Other,Non-fatal
1995,28.94,-80.83,Florida USA,Other,Non-fatal
1995,28.24,-80.6,Florida USA,Other,Non-fatal
1995,28.12,-80.57,Florida USA,Other,Non-fatal
1995,28.07,-80.56,Florida USA,Other,Non-fatal
1995,28.09,-80.56,Florida USA,Other,Non-fatal
1995,28.08,-80.56,Florida USA,Other,Non-fatal
1995,27.88,-80.45,Florida USA,Other,Non-fatal
1995,27.78,-80.41,Florida USA,Other,Non-fatal
1995,27.22,-80.18,Florida USA,Other,Non-fatal
1995,33.43,-79.12,South Carolina USA,Other,Non-fatal
1995,33.43,-79.12,South Carolina USA,Other,Non-fatal
1995,33.57,-79,South Carolina USA,Other,Non-fatal
1995,33.65,-78.93,South Carolina USA,Other,Non-fatal
1995,33.85,-77.96,North Carolina USA,Other,Non-fatal
1995,34.22,-77.79,North Carolina USA,Other,Non-fatal
1995,-8.19,-34.92,Recife Brazil,Other,Non-fatal
1995,-8.17,-34.91,Recife Brazil,Other,Non-fatal
1995,-8.13,-34.9,Recife Brazil,Other,Non-fatal
1995,-32.99,27.95,South Africa,Other,Non-fatal
1995,19.94,37.41,Sudan,Other,Non-fatal
1995,24.19,65.17,Pakistan,Other,Non-fatal
1995,-38.52,145.11,Victoria Australia,Other,Non-fatal
1995,-33.16,27.69,South Africa,Sand Tiger,Non-fatal
1995,-30,30.94,Durban South Africa,Tiger,Fatal
1995,22.31,114.29,Hong Kong,Tiger,Fatal
1995,20.69,-156.45,Hawaii USA,Tiger,Non-fatal
1995,-24.83,113.16,Western Australia,Tiger,Non-fatal
1995,-23.18,150.94,Queensland Australia,Tiger,Non-fatal
1995,-25.28,152.84,Queensland Australia,Tiger,Non-fatal
1995,-33.96,120.12,Western Australia,White Shark,Fatal
1995,-44.23,-176.02,New Zealand,White Shark,Non-fatal
1995,37.01,-122.19,California USA,White Shark,Non-fatal
1995,36.52,-121.94,California USA,White Shark,Non-fatal
1995,-32.57,28.55,South Africa,White Shark,Non-fatal
1995,-32.09,132.98,South Australia,White Shark,Non-fatal
1996,27.26,-82.55,Florida USA,Blacktip ,Non-fatal
1996,-42.52,173.51,New Zealand,Blue,Non-fatal
1996,-33.82,151.01,Sydney Australia,Bronze Whaler,Non-fatal
1996,26.98,-77.67,Bahamas,Bull,Non-fatal
1996,-8.22,-34.93,Recife Brazil,Bull,Non-fatal
1996,-8.22,-34.93,Recife Brazil,Bull,Non-fatal
1996,-29.63,31.13,Durban South Africa,Bull,Non-fatal
1996,-27.87,153.42,Queensland Australia,Bull,Non-fatal
1996,20.63,-156.45,Hawaii USA,Other,Non-fatal
1996,26.29,-81.83,Florida USA,Other,Non-fatal
1996,30.3,-81.39,Florida USA,Other,Non-fatal
1996,29.87,-81.27,Florida USA,Other,Non-fatal
1996,29.84,-81.26,Florida USA,Other,Non-fatal
1996,29.07,-80.91,Florida USA,Other,Non-fatal
1996,29.03,-80.89,Florida USA,Other,Non-fatal
1996,29.04,-80.89,Florida USA,Other,Non-fatal
1996,28.97,-80.85,Florida USA,Other,Non-fatal
1996,28.95,-80.84,Florida USA,Other,Non-fatal
1996,28.25,-80.6,Florida USA,Other,Non-fatal
1996,26.96,-80.08,Florida USA,Other,Non-fatal
1996,26.79,-80.03,Florida USA,Other,Non-fatal
1996,26.52,-78.58,Bahamas,Other,Non-fatal
1996,42.03,-70.09,Massachusetts USA,Other,Non-fatal
1996,58.29,0.2,Atlantic Ocean,Other,Non-fatal
1996,-34.02,24.93,South Africa,Other,Non-fatal
1996,27.78,34.22,Egypt,Other,Non-fatal
1996,-38.42,145.08,Victoria Australia,Other,Non-fatal
1996,-42.4,173.68,New Zealand,Other,Non-fatal
1996,-39.49,176.92,Hawke's Bay New Zealand,Other,Non-fatal
1996,-38.71,177.94,Gisborne New Zealand,Other,Non-fatal
1996,29.07,-80.91,Florida USA,Requiem,Non-fatal
1996,-21.02,55.24,Reunion,Tiger,Fatal
1996,-5.24,145.8,Papua New Guinea,Tiger,Fatal
1996,20.99,-156.67,Hawaii USA,Tiger,Non-fatal
1996,20.91,-156.48,Hawaii USA,Tiger,Non-fatal
1996,34.42,-77.55,North Carolina USA,Tiger,Non-fatal
1996,-5.24,145.8,Papua New Guinea,Tiger,Non-fatal
1996,-23.44,151.91,Queensland Australia,Tiger,Non-fatal
1996,24.77,125.32,Japan,White Shark,Fatal
1996,-44.27,-176.24,New Zealand,White Shark,Non-fatal
1996,38.36,-123.07,California USA,White Shark,Non-fatal
1996,38.34,-123.07,California USA,White Shark,Non-fatal
1996,38.25,-122.97,California USA,White Shark,Non-fatal
1996,-34,22.58,South Africa,White Shark,Non-fatal
1996,-34.04,25.43,South Africa,White Shark,Non-fatal
1996,-38.4,144.19,Victoria Australia,Wobbegong,Non-fatal
1997,29.48,-81.12,Florida USA,Blacktip ,Non-fatal
1997,27.47,-80.29,Florida USA,Blacktip ,Non-fatal
1997,27.47,-80.29,Florida USA,Blacktip ,Non-fatal
1997,33.84,-78.61,North Carolina USA,Blacktip ,Non-fatal
1997,-8.1,-34.88,Recife Brazil,Bull,Fatal
1997,-5.33,145.69,Papua New Guinea,Bull,Fatal
1997,-5.33,145.69,Papua New Guinea,Bull,Fatal
1997,-8.12,-34.89,Recife Brazil,Bull,Non-fatal
1997,-28.16,153.55,New South Wales Australia,Bull,Non-fatal
1997,-8.13,-34.9,Recife Brazil,Other,Fatal
1997,-16.3,167.52,Vanuatu,Other,Fatal
1997,28.6,-95.98,Texas USA,Other,Non-fatal
1997,29.33,-94.73,Texas USA,Other,Non-fatal
1997,29.48,-81.12,Florida USA,Other,Non-fatal
1997,29.47,-81.12,Florida USA,Other,Non-fatal
1997,29.33,-81.06,Florida USA,Other,Non-fatal
1997,29.22,-81,Florida USA,Other,Non-fatal
1997,29.08,-80.92,Florida USA,Other,Non-fatal
1997,29.07,-80.91,Florida USA,Other,Non-fatal
1997,29.03,-80.89,Florida USA,Other,Non-fatal
1997,29.03,-80.89,Florida USA,Other,Non-fatal
1997,29.04,-80.89,Florida USA,Other,Non-fatal
1997,29.04,-80.89,Florida USA,Other,Non-fatal
1997,29.03,-80.89,Florida USA,Other,Non-fatal
1997,29.04,-80.89,Florida USA,Other,Non-fatal
1997,29.01,-80.87,Florida USA,Other,Non-fatal
1997,28.95,-80.84,Florida USA,Other,Non-fatal
1997,26.01,-80.11,Florida USA,Other,Non-fatal
1997,26.14,-80.1,Florida USA,Other,Non-fatal
1997,26.5,-80.05,Florida USA,Other,Non-fatal
1997,-8.26,-34.94,Recife Brazil,Other,Non-fatal
1997,-34.17,24.83,South Africa,Other,Non-fatal
1997,-21.27,55.33,Reunion,Other,Non-fatal
1997,-20.17,148.91,Queensland Australia,Other,Non-fatal
1997,-27.93,153.41,Queensland Australia,Other,Non-fatal
1997,41.07,-71.86,New York USA,Requiem,Non-fatal
1997,29.21,-81,Florida USA,Spinner,Non-fatal
1997,26.71,-80.03,Florida USA,Spinner,Non-fatal
1997,20.37,-87.03,Quintana Roo Mexico,Tiger,Fatal
1997,11.79,42.88,Djibouti,Tiger,Fatal
1997,-16.78,-179.99,Fiji,Tiger,Non-fatal
1997,22.01,-159.78,Hawaii USA,Tiger,Non-fatal
1997,-20.29,149.05,Queensland Australia,Tiger,Non-fatal
1997,-26.65,153.1,Queensland Australia,Tiger,Non-fatal
1997,-32.21,28.95,South Africa,White Shark,Fatal
1997,40.99,-124.12,California USA,White Shark,Non-fatal
